15b2 12ca
0445 1b6b
04f0 1b8a
056c 1b7e
056f 1b0a
0544 1aa4
04f5 1b1f
051d 1c46
0586 1cab
056e 1be9
0558 1b5c
05f2 1b9f
0712 1bf0
0806 1c12
0823 1c58
07c7 1c60
07d2 1c14
0834 1c1c
0883 1c53
08e5 1c14
0990 1b83
0a5e 1b12
0add 1ab1
0ad4 1a4c
0ae6 1a0a
0b74 1a05
0be9 19f2
0c34 198c
0caa 195e
0cdb 19a7
0ca4 198f
0d02 188a
0e51 176a
0f9f 170d
104e 1746
108c 17ba
10cc 1812
1160 17e7
1223 1743
12b4 167e
12b9 15ba
1282 14de
12f2 1421
140f 13e0
153d 1395
164c 12dc
16e9 1278
16e7 1245
16ec 118b
1757 10c4
17d3 1071
17d8 10b3
179e 1152
17bf 119b
17da 1107
1833 0f7a
193a 0e18
1984 0e04
18ef 0e3d
1918 0dc2
19ad 0d47
19a9 0d60
1944 0db0
1904 0da2
1918 0d11
191f 0c5f
1955 0be1
1a68 0bc5
1b8b 0c12
1b8a 0c9f
1a95 0d20
19ac 0d1a
193e 0ca7
18fc 0cab
1907 0d55
1965 0dd6
197a 0db2
1970 0d34
196c 0d0c
1902 0d7b
187e 0e37
182a 0f0c
17a5 0fc2
16e4 1038
1690 1037
16e5 0fdd
1722 1040
16de 1123
164d 115d
15c3 117e
15fd 11d5
16c1 119e
16e5 113b
1670 119a
159a 1294
142b 138c
12b2 1422
11aa 141f
114b 1414
11bf 14ad
124a 152a
1201 1514
10f7 1593
0fe3 16dd
0f0a 17c8
0e8a 1830
0e69 187a
0e01 185b
0d0a 1803
0be6 183d
0b25 190b
0b40 19a6
0bd7 19cb
0bbe 19fe
0aa7 1a22
09f5 1a06
0a41 1a3e
0a6a 1aa1
0a0c 1af6
09be 1b94
098d 1bc5
0935 1b02
08c1 1a4d
0849 1a15
07d1 19d6
0760 19c8
071a 1a17
06e0 1a60
0632 1ad7
0573 1b86
0588 1be6
0669 1bfa
0765 1bf7
07d4 1bdd
07b7 1bf4
0744 1bf1
0687 1b3b
0614 1af4
0662 1bf7
0715 1c96
0795 1bdb
07b9 1b3b
07d0 1b72
0821 1bb7
08c7 1bc9
0984 1bd8
09c4 1c1e
0986 1cbb
0981 1d30
0a09 1d0e
0aa9 1c5d
0b09 1ba3
0b66 1b57
0bc1 1b09
0bf2 1a00
0c85 18a9
0db4 1876
0e95 197b
0ebb 1a08
0f2d 1966
1081 18c9
11a3 18e6
11b3 18d5
1199 1844
1282 17ee
13f7 1802
14ac 180f
147c 1794
1443 16a3
1443 156a
1476 13fc
150a 130a
15e5 12f3
169e 131e
16d7 12b7
16ce 11ea
16ae 1198
1651 1160
1649 1059
1752 0f16
18bd 0e8a
191c 0e78
18d0 0e59
1927 0e52
19f5 0e89
1a6d 0e9e
1a49 0e62
19ff 0e07
1a24 0da6
1a61 0d15
1a4a 0c28
1a65 0bb4
1aec 0c9e
1b55 0dba
1b57 0da6
1af6 0ccf
1a7a 0be5
1a37 0b67
1a6a 0b82
1b1f 0b5a
1bbe 0b11
1bbb 0bcd
1b41 0cc4
1aaa 0cc8
1a0e 0c7d
198e 0c61
1947 0c7b
193a 0d1e
19ac 0dcb
1aa4 0e25
1b55 0f15
1b32 1063
1a99 10e5
19b6 1108
1880 1153
1794 1144
179e 1106
1831 1149
1843 11d6
17bd 1277
170a 1342
16ac 139d
1724 13b5
1772 1492
1674 15ca
14db 1638
1396 1607
12f5 15e6
1312 161b
1384 16a0
13a9 16e4
1372 16e7
1304 176c
11ea 1844
1060 18cb
0f40 190b
0e52 191a
0d81 1948
0d15 19b7
0ce2 1999
0ca9 1905
0c1d 18d7
0b8c 1937
0b6e 1a26
0b90 1b49
0b56 1bf2
0a8f 1c13
0a25 1bd8
0a45 1b70
0a2c 1b5b
09f2 1baa
0998 1c08
08a5 1c6c
079f 1c9c
077e 1c5e
07f6 1caa
0808 1dc9
080d 1e14
08b4 1d37
08c6 1c81
07de 1c4b
077c 1c1a
07b1 1be1
07e4 1bbd
087a 1b7b
0961 1b3f
09d1 1b48
097c 1b45
08d7 1ada
0880 1a4b
08b8 1a42
0957 1ab6
0a13 1ae3
0a8d 1ab0
0a8f 1a51
0a99 199a
0b0d 1911
0b84 1938
0bba 1950
0bd5 1893
0beb 17e8
0c25 1878
0cdf 1949
0df3 1937
0ec6 1888
0f4c 1765
0fd1 1648
104a 1627
1077 16ca
1076 1705
10ec 164b
11df 1556
128d 14b9
12ff 13f9
13a7 1306
1413 1260
1415 1243
143a 1297
14ba 12ca
159c 1257
16d2 1166
17f5 108f
1870 1024
1819 0fb3
1798 0f04
17b6 0e76
1875 0dc3
1916 0c97
1977 0b73
1a41 0afd
1aed 0b0f
1a9e 0a76
1a3d 08c6
1aae 0786
1b6b 07ab
1bed 0805
1c29 078e
1c24 066c
1c3c 0558
1cc6 050b
1cfd 04ef
1c38 0429
1b32 0310
1add 021f
1b5c 017d
1be9 0106
1bfa 0048
1bc0 ff7d
1b47 fef0
1b17 fe45
1ba4 fd90
1c1a fcff
1be9 fc5a
1ba3 fb9d
1c03 fab9
1cc3 f9bd
1cc8 f8f1
1c04 f82b
1b2e f760
1a47 f6cb
1981 f664
1972 f60e
19a6 f576
1932 f4ad
1866 f44a
1804 f3f6
17fc f2e4
1823 f1b0
1878 f159
189f f153
183c f0f3
17d4 f05e
17ee ef50
17a7 edb2
1652 ecad
14c9 ed5b
140e eecd
1408 ef27
13de edfe
1345 ec4c
1276 eb30
11b0 eab3
1147 ea45
1131 e9e3
110d e992
10a1 e953
1009 e942
0fd3 e91f
1014 e8f0
0feb e912
0ef3 e943
0dd5 e8e6
0d7d e827
0dbe e7ea
0d52 e818
0c54 e7e6
0bdf e781
0bcb e76c
0b8f e796
0b4b e75e
0b2a e6a6
0ae3 e673
0a53 e6d8
0a1c e6cc
0a79 e645
0aad e5b7
0a51 e55b
09e3 e5c2
09f6 e6ba
0a63 e701
0a99 e658
0a59 e58b
0a00 e519
0a39 e520
0b2f e572
0c35 e5a1
0c9e e56b
0c8f e51d
0c22 e518
0b7b e528
0b52 e4fa
0bab e506
0c0b e598
0c87 e5df
0d5a e5e3
0e3c e6a1
0eeb e7c4
0fac e81a
1083 e78d
113c e750
11b3 e7fb
11a9 e8bd
114b e902
1161 e8d3
1211 e871
129b e881
12ff e93d
13b6 ea29
1493 eaaf
1563 eaf1
162a eb9d
16a0 ec4a
1680 ec65
1628 ecd5
161d ee02
1675 eece
1728 eeb3
1846 eeb4
196b ef82
19c4 f09b
1986 f194
19bb f25f
1a99 f2f0
1b90 f364
1c12 f412
1c55 f52a
1cca f684
1ce3 f7a7
1c61 f80f
1c02 f842
1c1a f8cd
1cb1 f96e
1d69 fa5a
1d82 fb80
1d7b fc51
1dd6 fc97
1dd9 fc4d
1dc5 fc0d
1e41 fcd5
1e84 fe31
1e1b fe77
1d86 fdef
1cef fe62
1c84 ffdd
1c95 014a
1ce6 0285
1cf9 03ff
1cda 056c
1d03 062a
1ce8 065c
1ba9 0699
1a44 074d
19f5 0838
1a52 08bc
1aa0 08d5
1aaf 08d5
1ab6 0950
1acd 0ab3
1a66 0c18
1986 0c8d
1915 0cae
18f5 0d84
1859 0ecb
17af 0f47
17a3 0ec6
17ea 0e51
17cb 0ead
16b3 0fbf
154d 10dd
14bb 119e
14da 120c
14fe 1265
14da 130f
14b2 1432
14a9 1556
146c 15d9
1430 1596
13ef 1527
12fb 154f
1175 15ae
1075 15cc
106d 1646
1076 170f
0ffa 173f
0f60 172a
0efd 17b7
0ee7 1896
0edf 1941
0e4e 199f
0d30 196c
0c91 18f0
0cb2 18fd
0c3a 197b
0af3 19cd
0a01 1a09
09cd 1a5b
09cb 1aa1
0981 1b21
097f 1be2
0a14 1c25
0a70 1bd2
0a3f 1b79
09d4 1b02
0983 1a4f
0967 19ae
08ec 198b
0818 1a2f
07cd 1ad6
080e 1afa
0895 1b39
096b 1ba1
0a2f 1b9f
0ad0 1b47
0b5a 1b65
0b65 1c18
0b32 1c97
0aef 1c86
0a93 1be0
0afd 1ada
0c34 19ff
0d1a 196d
0d66 1935
0d7b 19b1
0d82 1a76
0d89 1a55
0da3 1942
0dec 185a
0e98 17e6
0f7c 1761
102e 16b0
10fc 1656
121c 16cc
12e4 17bc
130c 181b
12ef 1784
1313 168f
13ba 1599
1462 14dd
14b4 14ae
1515 14aa
1591 1443
15dd 1395
1623 12e6
1669 1236
167e 11b5
16a0 11ab
1715 11a5
17ac 1140
17f1 10a2
17c2 0fa1
1780 0e7a
17ac 0e01
184f 0e06
18de 0d6e
1922 0c56
198e 0bd5
1a6a 0be6
1b35 0bfd
1b7e 0bdb
1ba2 0b3e
1bae 0a70
1b3a 0a0e
1aa7 0a0f
1ae6 09f0
1bea 097e
1c75 0913
1beb 08f3
1b36 0899
1b27 07c7
1b61 0734
1b76 0759
1b1a 07fe
1a67 0892
1a7a 08a8
1b61 087e
1bd1 08bb
1b90 0965
1b59 09be
1bb7 0995
1c3f 099b
1bb4 09cb
1a63 0981
19eb 095e
1a4b 0a4c
1a6d 0bae
1a34 0c7a
19d8 0c9d
194f 0c98
18d3 0c90
1869 0c9b
17a8 0d3f
16c0 0e50
166f 0f2b
16c5 1042
1712 1194
170c 1202
16ec 11bb
169e 11b9
1613 11ee
15a9 11c0
15b3 116a
15ea 1210
1595 13c0
14c4 1515
141f 1572
137d 156f
12af 1560
1232 157b
120f 15ed
11cb 1638
1148 163e
10f4 1660
10f8 165f
10a3 162d
0fbf 1681
0f22 1778
0f0a 184e
0ee0 18be
0e39 1909
0d2d 194a
0c60 1980
0c78 1978
0d27 1965
0d50 198b
0c78 1979
0b4f 194a
0ac9 199a
0b0c 1a07
0b1d 1a1f
0a5c 1a53
0994 1af9
098e 1bb2
09cc 1ba3
0961 1b1b
08d0 1b4f
091f 1bb4
09f3 1b6f
0acf 1ae6
0b6d 1a15
0b3e 191f
0aae 18e9
0add 198c
0b8f 1a59
0b87 1ad8
0b05 1ae9
0b42 1adc
0c07 1b04
0c94 1ae7
0cf2 1a4e
0d29 199e
0d60 18e2
0dc1 1881
0e3e 18c4
0efb 1904
0fc2 1893
1080 1798
117e 16ed
1228 16df
11eb 16f6
11b9 16c0
1271 165d
133a 162f
134e 15ec
1337 1554
1395 1512
1424 153c
143e 14d6
1457 13bb
1538 12bd
1649 1232
1742 11bd
189c 1113
1955 105b
1883 0fa5
175c 0ecd
1754 0dfc
1858 0db5
1905 0e14
1911 0e42
1987 0ddd
19fd 0d76
1a18 0cfb
1a9e 0c0f
1b21 0b33
1b23 0acd
1b1c 0a69
1b31 09f3
1b4e 0a01
1b6a 0a63
1b8f 0a1c
1bb7 0931
1bd5 08c4
1c13 0913
1c45 092c
1c97 08ca
1d24 08d4
1cea 0965
1c1e 0973
1bea 090c
1c46 08f7
1d07 08ee
1dad 08bf
1da9 08bd
1d9f 08de
1d6f 08e2
1c97 086a
1bdb 07b4
1bcd 07a8
1c54 089f
1cbe 0a1a
1c27 0afa
1b02 0a78
1a73 09b8
1ab4 0a47
1b57 0b4d
1bb7 0bb9
1b11 0c44
199f 0d11
18cc 0d76
1922 0dae
1984 0e46
192e 0f35
18d9 1042
18fa 10e1
18b9 107d
17ba 0fe9
16d6 1059
1685 1166
1654 1233
161e 12a8
1600 12fd
15e8 1373
160b 13e0
1637 13fe
15a2 141b
1460 149e
13aa 1557
13d1 160f
139a 1708
1290 17ed
11bc 1810
1193 17c1
112b 17ad
102f 17d5
0f8b 1849
0f89 190b
0f9b 196a
0f41 1958
0e4f 1960
0d72 19ae
0d11 1a3d
0c7d 1a9e
0bc4 1a59
0b9d 19ca
0bcf 19e1
0be2 1a97
0bb1 1ab5
0b5c 1a10
0b63 1999
0bc3 199e
0c09 19f8
0c3c 1a6a
0c51 1a9f
0bb9 1a93
0aa2 1ac9
0a4d 1b81
0b0e 1ba4
0bbe 1aaa
0bc4 19bf
0b95 193e
0b80 18ca
0bcb 18b4
0cc1 18fc
0db9 1937
0dba 193e
0d00 1902
0cbd 188c
0d73 184a
0e4c 189d
0f01 18e1
102f 185f
1121 17af
10e3 1777
106e 1755
10d8 16d3
1191 15f5
11fb 14c9
125f 13af
12f0 1366
137f 13c1
13e0 13d0
1426 1363
148f 12ef
14ea 12d5
14f7 1332
152e 138a
15bb 1343
162f 127c
168c 116a
1721 0ff2
17db 0e58
1883 0d2c
18f9 0ca6
18fa 0ca5
18bf 0cdb
18aa 0cb3
18ad 0bbd
192a 0a6f
19ec 097a
1a14 08a7
1a17 07f7
1a7c 07c0
1acf 0796
1adf 074e
1ab0 06e0
1a95 05ee
1ae5 04d5
1b33 0437
1bbb 03bf
1ccc 030b
1d4a 0295
1cec 0242
1ce2 016e
1d5e 004a
1d7a ff79
1d14 ff5f
1c5c ff5f
1b71 fe6c
1b11 fca9
1b3b fb10
1b4e fa3a
1b65 f9b0
1b5a f8b6
1ad0 f793
1a58 f6ef
1a7b f6e4
1ad8 f719
1b01 f727
1ae0 f6d0
1a7f f612
19a6 f56a
1832 f509
172f f423
1766 f2b9
1801 f1a9
1837 f0bb
180b efd9
17c3 efac
17b0 efb1
17aa eed1
1742 ed63
16a6 ecc2
160b ed24
150e ed5b
13cf eca2
1320 eb4e
133b ea93
134a eaf3
12cc ead1
1222 e96d
1161 e87a
1088 e8ab
0fca e912
0f49 e946
0f1f e93e
0f0d e8eb
0ed3 e86e
0e62 e7bd
0da3 e70a
0cc6 e701
0c0d e733
0b5b e6a7
0af6 e5d9
0b51 e558
0baf e519
0b6b e506
0ac1 e4b6
0993 e46c
0837 e49d
079c e4ae
07c9 e4a5
07fe e51c
07d0 e536
0793 e465
0762 e3f5
06f3 e471
06b7 e4bf
06d0 e48a
066b e46a
05c6 e443
05a9 e3f2
05b3 e3fe
05c8 e43c
061e e409
066c e3a8
0715 e3a5
080d e3f1
083c e3f0
07ac e37c
0758 e375
07c0 e402
089b e43c
095b e425
09c4 e422
09b0 e401
0974 e3f3
0962 e45a
0929 e4bf
0958 e45d
0a7f e3ea
0bb9 e49f
0c7c e5ff
0d11 e6f8
0da2 e738
0e13 e73e
0df5 e787
0daa e7ba
0e67 e7ce
0fde e84a
10da e91b
115b e9d2
119d ea51
1198 ea7b
11c0 ea3e
1270 ea01
135b ea67
140c eb7a
14a3 ec7e
155f ecb7
15fc ec44
1629 ec3e
15de ecfd
15f2 edcd
174e eeac
18f4 efa4
19a8 f053
19d7 f0f5
1a04 f1b0
1a45 f218
1a9c f212
1ac3 f227
1ace f2d7
1af6 f3f6
1b1c f518
1b41 f605
1b93 f6a3
1c07 f704
1c4b f792
1c4b f845
1c79 f88c
1ccc f8bb
1caf f946
1c43 fa02
1beb fb0b
1bf5 fc21
1c89 fcd0
1cd0 fd7a
1c57 fe7c
1c18 ffa1
1c7a 00c2
1ca8 018c
1ca2 01f2
1ce2 02a2
1cc6 038f
1c18 043d
1b6f 0493
1b0d 04ad
1aec 0540
1aeb 0650
1b3e 06dd
1bf4 0702
1c4b 078a
1ba9 0855
1a89 090e
19f9 09e3
1a15 0aff
1a1f 0bca
19fd 0bc4
19c5 0bbd
1942 0c17
186b 0c94
1779 0dd7
173f 0fa1
17e8 1075
1862 1011
1843 0fac
179e 1003
1668 10b9
1544 1176
14bf 122e
1465 12ae
1414 1301
143a 1383
145e 1403
13ee 1480
12eb 1575
1194 162c
10c4 15f5
10c2 1599
10f2 15a6
10ca 15ff
0fe2 16bc
0eac 17ba
0df7 1856
0dd8 1865
0e25 184b
0ea9 17fe
0ee7 17ad
0e7f 17fd
0e03 1868
0e0d 185d
0dcd 1897
0cc8 1987
0c25 1ac0
0c87 1b37
0d10 1a6e
0d10 19a8
0cea 19e3
0d0d 1a75
0d03 1b05
0c75 1baa
0c4e 1b7d
0d36 1a8a
0e6d 1a0d
0ee8 19e4
0e6b 19b2
0db9 19d9
0db7 1a29
0e9b 1a87
0fac 1ad0
101f 1a52
1028 1937
1077 1859
1148 184d
11eb 1904
1195 1994
10f6 1969
1142 18c6
126f 17e9
13b7 1711
1439 165c
1411 15bf
144e 15c1
14cb 1648
14fe 15e7
155b 1480
15bc 1359
1571 12c8
1506 129b
15ab 127b
172a 11f1
17ef 1154
1797 1103
1776 105f
1831 0f6e
1918 0f4b
1989 0f9f
19a9 0f27
19c7 0e1c
19e7 0d1f
1a2f 0c56
1a7f 0c14
1a74 0bee
1a77 0b53
1b1d 0add
1bf3 0a6d
1c29 0930
1bce 07de
1ba5 0793
1c1a 07e5
1c9c 07bb
1c91 06f3
1c6b 05e9
1c7f 04fd
1c5c 04eb
1bd2 0557
1ba2 052d
1c57 04a1
1d17 047e
1d4a 04f1
1d6e 05b1
1dca 0662
1e2d 06a7
1e3c 063c
1d63 053d
1bc7 0456
1ac8 040b
1b01 0425
1b6c 049f
1b42 0573
1aef 0610
1b16 0668
1bd7 0712
1cc9 0817
1d27 088e
1cb2 083b
1be4 0855
1b2a 095a
1aba 0a15
1a9c 09e7
1abf 09a9
1aec 09b7
1aa3 0a0e
19b8 0ad1
18d1 0b75
1881 0bbe
1887 0c1a
18a0 0d23
188d 0f10
17f4 10c7
1730 110b
16d4 102f
1715 0fb2
17a5 101b
17e2 10a7
1799 116f
16c3 12a9
159f 1343
1514 1303
1549 12f6
1559 1360
14d5 13ce
1427 1422
1410 147d
1472 14d7
142e 1554
1313 1640
11d2 1754
10b9 17a0
104a 16b9
108f 1606
1065 16c6
0f54 1804
0e15 1864
0dce 1803
0e8a 17ac
0f19 17a6
0f21 1800
0ebe 1862
0e12 186d
0db6 18b0
0de6 1970
0e25 19e8
0e1a 19c1
0e3f 19b0
0ea0 1a22
0e67 1a52
0df2 196d
0e2f 1850
0e82 186b
0e51 1961
0e14 19e5
0e39 19b8
0ebf 1951
0f80 192f
101a 19a0
0fdb 19d1
0f35 190f
0f19 1858
0f12 1850
0ed3 183d
0f10 17ca
0ff5 17a9
10d3 17fc
116f 17b9
11e2 16f2
1221 16b3
12eb 1667
146a 1551
1574 1447
15a1 13e6
1532 140e
146d 144f
144e 13f8
1547 132e
165e 12b0
16e9 1270
1735 1202
17c2 117c
18b4 10fe
1942 1080
1901 1040
1901 101f
19b2 0f5c
1a5a 0e41
1add 0dc5
1b71 0d7d
1bbc 0c4a
1b94 0a59
1b33 0937
1ab7 095b
1aa9 09a8
1b47 09a0
1b9b 094e
1b64 0886
1b65 0788
1bac 070f
1c0a 0751
1c47 077a
1bdf 06d8
1b61 05bc
1bba 050b
1c55 0527
1c72 0566
1c67 0577
1c3a 055b
1bef 04b1
1c5c 040f
1d50 0465
1dc2 053a
1d72 0566
1cce 04cb
1c85 0411
1ca6 0398
1cb0 0387
1cbb 03f5
1cf7 04fb
1cfe 0616
1cc1 0677
1c89 0641
1c61 05f7
1c91 05b2
1d26 05a5
1d6b 05e6
1d4b 065d
1d17 0783
1ca8 08a8
1c5b 086d
1c69 07fb
1c6b 08e5
1c12 0a59
1b69 0ae5
1ae6 0a71
1a6d 0a14
19cb 0aac
1983 0bb4
19c3 0c1b
1a1c 0c7c
1a2b 0dc3
19ba 0ee4
18c5 0f26
182f 0f58
185d 0ff9
1834 10a3
1770 113f
16ef 123a
16c3 1327
1614 1377
14c9 13ab
141e 13e7
14d9 13df
15e2 13f3
1592 142b
13f7 147f
12bb 1548
12a5 1629
12b5 16bf
124b 1708
120b 16e8
123a 1676
125c 1638
120d 16bc
1141 17c3
105f 186b
0fcc 185f
0f94 17fc
0fbd 17c9
0fdc 185b
0f56 195c
0ebe 19d1
0f0d 19c7
0fa1 19c3
0f30 19f9
0e0f 1a44
0d7c 19ef
0d86 18fa
0da6 1873
0e4d 1854
0fab 180e
109c 1806
1071 1829
0fce 185a
0f66 18c4
0f66 18e6
0fc1 18da
1053 18f3
10d2 18fe
10fb 18e7
10d4 185d
10ae 1740
110b 1627
11d0 15b8
1217 15d7
11df 15e6
1215 15cb
12e2 155d
1401 144d
14fe 135c
152f 12fd
1507 1295
157c 124b
1683 1251
1755 11d3
177c 10ac
1750 0fce
1766 0fa7
17b3 0f8f
17bf 0eaf
17d1 0d38
186e 0c4c
190f 0c4e
1920 0c70
1919 0c2c
1969 0b7f
19e7 0a4b
1a40 08f1
19fa 0847
1995 0819
1a7a 0782
1c2b 06cf
1ca1 067b
1beb 05da
1b83 04d2
1b44 0420
1a9c 03ae
1a48 02f7
1aa0 0214
1b2c 0118
1bb7 0021
1bf2 ffd6
1bdf fffe
1bb5 ffe7
1b35 ff74
1a91 fe53
1a78 fcd6
1b19 fc0a
1bb3 fbe2
1b71 fb97
1ae7 fb02
1b1a fa33
1bb5 f911
1bdf f804
1b2c f79c
19c3 f7c9
18af f7ee
18e4 f745
19fc f606
1acc f517
1a83 f446
18f9 f2f6
1778 f150
1769 efd9
17c8 ef13
1734 ef27
1630 ef9c
15ce ef8d
1623 eecb
1635 ee3e
1599 ee43
14db ee46
145d edc7
1450 ecbc
1478 eb65
141f ea41
1348 e9c3
12c2 e9f0
12d0 ea66
12d1 ea30
1206 e913
108b e841
0f78 e874
0f1f e903
0eb4 e8e6
0df0 e80d
0d52 e725
0d2b e69a
0d27 e6a0
0cc0 e71d
0b8f e74a
09dd e686
08b9 e550
0876 e4c0
0853 e50f
07eb e526
0774 e4ec
06c8 e576
05f2 e5e1
05a6 e4e3
05c8 e3a9
0580 e35d
04e0 e383
048b e3aa
0489 e40d
046c e482
043b e45c
045e e3ba
04a4 e361
0466 e384
0378 e3e8
027e e449
0258 e40b
0317 e30f
0391 e269
0321 e27c
02ca e2dc
0328 e39a
03a8 e418
03c6 e3f8
0333 e40c
023e e44d
023e e3fa
037d e314
0444 e263
0430 e258
04c1 e28c
05d2 e2be
0613 e342
05c7 e3dc
0613 e400
071c e412
084b e451
090a e4a1
091f e51f
091b e526
0941 e469
0965 e3ec
0a28 e418
0bbd e489
0d03 e521
0d2a e5af
0cd6 e5ec
0d2e e5ff
0e33 e61e
0f19 e640
0fa0 e69c
1037 e750
1131 e7e8
11fb e82a
1225 e872
1225 e91a
1232 e9e6
1279 ea0b
1369 e97f
14a4 e995
159c eadd
1688 ec39
1761 ed1d
17d4 ed8a
1813 ed1f
17fe ecae
1736 ed44
1694 ee56
1773 ef76
1930 f0c7
19c5 f1a4
1966 f1eb
19d3 f28f
1ab5 f38e
1ad5 f420
1abf f419
1b71 f3bb
1c82 f39d
1cce f463
1ca1 f5d8
1cf7 f730
1d2e f817
1cd8 f900
1c5e fa3b
1ba6 fb5d
1b3c fc31
1b8c fcec
1bec fd98
1c2f fe1c
1c56 fe5c
1c26 fe87
1c12 ff0c
1c1f 0008
1b9d 00d7
1b0d 00e9
1b46 010f
1bb1 0237
1b89 03d3
1b4c 04cc
1bb5 04f2
1c32 04fd
1bfe 0561
1bb5 05ff
1bd7 06cc
1be4 07a7
1b99 086e
1aee 093f
1a10 09f1
198f 0a6f
1983 0b0c
1989 0c1a
1950 0d35
18f0 0d73
18a3 0d8b
17dd 0eb1
1682 0fbe
162b 0f97
1770 0f10
188c 0ed6
1854 0f46
1742 10ba
1631 1223
15d6 1263
15df 124d
1551 127b
148e 128f
145b 131b
13e5 1445
12ba 150f
11f9 1574
1224 164b
125b 1752
121a 1745
1229 1644
12a1 15f5
1266 1639
1195 159d
10fb 14d8
1091 150c
10ad 15a5
1180 165a
11ca 1758
10e4 1808
0fda 17e6
0f30 1763
0ec4 16f5
0f07 16a1
0fe1 169e
106c 16f0
1031 175e
0fb7 17aa
0fd9 1779
1099 171c
1163 16d7
11be 1675
1197 1658
119f 16c5
1202 178a
1223 1842
129d 1851
13f4 17aa
14e8 16cf
149a 1602
13b7 1535
137e 14ae
1451 1483
1545 1432
157b 13b9
1567 134a
15e0 12cf
169c 1268
171c 1243
1773 1210
17cf 1158
183e 10e8
186b 110b
1815 104a
1816 0ed7
1916 0e26
1a09 0e1d
1a3d 0dcb
1a4d 0d17
1a98 0c83
1b09 0bad
1b6e 0a71
1b50 0988
1ac4 08f5
1afa 088a
1c0b 089a
1c65 08eb
1c22 0864
1cac 06d9
1d85 0594
1dad 0546
1d87 055d
1d63 0514
1d2f 046c
1d5f 0424
1dd7 046d
1db3 045a
1d2a 036e
1d2f 0288
1db0 0259
1df8 02aa
1db5 02d4
1d12 027e
1c8f 0220
1cb8 01e4
1d63 015d
1dbe 00df
1d48 0121
1c43 0177
1b94 00ed
1bdf 0041
1c9c 0074
1cb8 0124
1c4c 019d
1c27 01cc
1c3b 01d0
1c49 0215
1c64 0302
1c63 0415
1c31 0466
1c21 03ec
1c3c 03b2
1c36 0478
1bee 0584
1b81 05bc
1b36 0536
1b14 0523
